total_evidence_count,official_evidence_count,corroborated_evidence_count,self_declared_count,accepted_official_count,accepted_corroborated_count,disputed_count,rejected_count,biometric_match_present,government_record_present,verified_ngo_record_present,family_confirmation_present,verified_family_links_count,documents_verified_count,documents_rejected_count,external_confirmed_matches,weighted_evidence_sum,days_in_system,identity_score
5,3,0,2,3,0,0,2,1,1,1,0,0,0,0,0,2.4000000000000004,294,53.4
3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1.8000000000000003,131,30.7
6,2,1,3,2,1,0,0,0,1,1,0,0,0,0,1,2.8000000000000003,206,60.2
4,1,0,3,1,0,0,0,0,0,1,0,0,2,0,0,2.15,208,41.2
4,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1.35,289,43.8
5,0,3,2,0,3,0,0,0,0,0,1,1,1,0,0,1.85,257,44.2
4,1,0,3,0,0,1,0,0,1,0,0,0,2,0,0,1.6500000000000001,237,27.0
4,2,1,1,2,1,0,0,1,1,0,0,1,0,0,1,2.9000000000000004,190,78.1
5,2,1,2,2,1,0,0,1,1,0,1,0,0,0,0,2.9499999999999997,233,63.6
2,1,1,0,1,1,0,0,0,0,1,0,3,0,0,0,2.0500000000000003,172,38.5
2,0,2,0,0,1,0,0,0,0,0,1,1,2,0,1,2.25,349,48.2
3,1,1,1,0,1,1,1,0,0,1,0,1,2,0,1,1.6999999999999997,99,20.3
6,1,3,2,1,3,0,1,0,0,1,1,1,2,0,0,2.6999999999999993,152,56.7
6,2,1,3,2,1,0,0,0,1,1,0,0,1,0,2,3.6,277,80.4
5,1,2,2,0,2,1,0,1,0,0,1,1,0,0,2,2.8,226,57.8
4,1,0,3,1,0,0,1,0,0,1,0,3,1,0,1,3.1000000000000005,302,46.1
4,1,2,1,1,2,0,2,0,0,1,0,0,1,1,1,1.15,127,27.5
7,1,2,4,1,1,0,0,0,0,1,1,2,2,0,0,3.8499999999999996,142,71.6
4,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1.7000000000000002,101,26.0
1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,1.8,58,26.2
8,2,2,4,2,2,0,2,1,1,0,0,0,0,0,1,2.4000000000000004,192,57.9
2,1,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1.5,100,31.0
4,1,0,3,1,0,0,2,0,1,0,0,1,1,0,1,2.0,258,29.1
5,0,1,4,0,1,0,0,0,0,0,1,0,2,1,0,2.2,253,36.7
6,1,1,4,1,1,0,0,0,1,0,1,0,0,0,0,2.4000000000000004,249,49.3
5,1,2,2,1,2,0,1,0,0,1,1,1,0,0,1,2.4499999999999997,62,44.8
3,1,1,1,1,1,0,0,0,0,1,1,0,2,0,0,2.45,99,40.5
6,2,3,1,2,3,0,0,1,1,0,1,1,1,1,1,3.95,7,100.0
1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,2.05,252,41.9
3,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0.7,191,30.7
7,2,2,3,2,2,0,2,0,1,1,1,0,0,1,1,2.8000000000000007,47,55.5
6,1,2,3,1,2,0,0,1,0,0,1,2,1,0,0,3.4000000000000004,316,68.9
8,2,2,4,1,2,1,0,1,1,0,0,2,1,0,1,3.700000000000001,197,90.2
3,0,3,0,0,2,0,0,0,0,0,1,2,2,0,0,2.2,197,50.6
4,3,1,0,3,1,0,0,1,1,1,0,1,0,1,0,3.1,348,70.6
7,2,1,4,2,1,0,0,0,1,1,0,2,1,0,0,3.7,103,73.3
2,0,1,1,0,0,1,2,0,0,0,1,0,1,0,0,-2.220446049250313e-16,138,0.0
6,1,2,3,1,1,0,0,0,0,1,0,0,0,0,0,1.4500000000000002,195,33.6
6,1,2,3,1,2,0,0,0,0,1,0,0,0,0,0,1.4500000000000002,78,37.8
2,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,1.9000000000000001,154,35.6
6,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,2.0999999999999996,273,57.4
5,0,2,3,0,1,0,0,0,0,0,1,1,1,0,0,2.0500000000000003,315,41.5
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.8500000000000001,36,16.2
7,2,1,4,2,1,0,0,1,0,1,1,1,1,0,1,4.5,275,85.4
4,1,2,1,1,2,0,0,0,1,0,1,3,0,0,0,3.0000000000000004,13,61.9
6,2,2,2,2,1,0,0,1,0,1,1,0,2,1,0,3.6,60,76.2
2,0,2,0,0,2,0,0,0,0,0,1,1,1,0,1,1.9000000000000001,104,42.2
5,1,2,2,1,1,0,0,0,1,0,1,2,1,0,2,4.050000000000001,15,79.5
8,2,2,4,1,2,1,0,0,1,1,1,2,0,0,1,3.95,294,75.3
4,0,2,2,0,2,0,0,0,0,0,1,0,1,0,1,1.9,330,34.7
4,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1.4500000000000002,293,27.1
4,3,1,0,3,1,0,0,1,1,1,1,0,2,0,0,4.1000000000000005,149,95.0
3,1,0,2,1,0,0,0,1,0,0,0,2,2,0,0,2.85,364,54.9
4,1,0,3,1,0,0,0,0,1,0,0,0,1,1,0,1.85,189,38.7
3,1,0,2,1,0,0,1,0,0,1,0,1,1,0,1,2.1,175,27.4
5,0,2,3,0,2,1,1,0,0,0,1,0,2,0,1,1.5500000000000003,8,6.0
3,0,1,2,0,1,2,2,0,0,0,1,0,1,0,0,-0.3500000000000003,182,0.0
3,1,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1.35,342,55.3
3,1,2,0,1,2,0,1,1,0,0,1,1,1,0,0,2.05,4,50.3
6,1,1,4,1,1,0,0,0,1,0,0,0,1,0,0,2.05,219,52.9
4,1,1,2,1,1,0,1,0,1,0,0,1,0,0,1,1.7999999999999998,29,42.6
4,1,1,2,0,0,1,1,0,0,1,1,1,0,0,0,1.4499999999999997,201,2.6
3,2,0,1,2,0,0,0,1,0,1,0,0,1,0,1,2.8000000000000003,305,57.0
7,3,2,2,1,2,2,2,1,1,1,1,1,2,0,0,3.1000000000000005,47,49.5
6,0,2,4,0,2,0,1,0,0,0,0,1,0,0,0,0.8500000000000002,103,19.1
2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.4,108,23.1
8,1,3,4,1,2,0,0,0,1,0,1,2,2,0,1,4.3500000000000005,272,94.6
